symbol,atomic_number,boil,density,electron_affinity,electronegativity,element,group,heat,ionization_energy_1,ionization_energy_10,ionization_energy_11,ionization_energy_12,ionization_energy_13,ionization_energy_14,ionization_energy_15,ionization_energy_16,ionization_energy_17,ionization_energy_18,ionization_energy_19,ionization_energy_2,ionization_energy_20,ionization_energy_21,ionization_energy_22,ionization_energy_23,ionization_energy_24,ionization_energy_25,ionization_energy_26,ionization_energy_27,ionization_energy_28,ionization_energy_29,ionization_energy_3,ionization_energy_30,ionization_energy_4,ionization_energy_5,ionization_energy_6,ionization_energy_7,ionization_energy_8,ionization_energy_9,melt,name,period,radius_calc,radius_emp,radius_vdw,radius_covalent,radius_covalent_trip
Na,11,1156.0,0.971,0.547926,0.93,Sodium,1.0,1.228,495.8,141362.0,159076.0,,,,,,,,,4562.0,,,,,,,,,,,6910.3,,9543.0,13354.0,16613.0,20117.0,25496.0,28932.0,370.87,sodium,3.0,190.0,180.0,227.0,154.0,
Mg,12,1363.0,1.738,,1.31,Magnesium,2.0,1.023,737.7,35458.0,169988.0,189368.0,,,,,,,,1450.7,,,,,,,,,,,7732.7,,10542.5,13630.0,18020.0,21711.0,25661.0,31653.0,923.0,magnesium,3.0,145.0,150.0,173.0,130.0,127.0
Al,13,2792.0,2.698,0.43283,1.61,Aluminium,13.0,0.897,577.5,38473.0,42647.0,201266.0,222316.0,,,,,,,1816.7,,,,,,,,,,,2744.8,,11577.0,14842.0,18379.0,23326.0,27465.0,31853.0,933.47,aluminium,3.0,118.0,125.0,184.0,118.0,111.0
Si,14,3538.0,2.3296,1.389521,1.9,Silicon,14.0,0.705,786.5,38726.0,45962.0,50502.0,235196.0,257923.0,,,,,,1577.1,,,,,,,,,,,3231.6,,4355.5,16091.0,19805.0,23780.0,29287.0,33878.0,1687.0,silicon,3.0,111.0,110.0,210.0,111.0,102.0
P,15,550.0,1.82,0.746609,2.19,Phosphorus,15.0,0.769,1011.8,40950.0,46261.0,54110.0,59024.0,271791.0,296195.0,,,,,1907.0,,,,,,,,,,,2914.1,,4963.6,6273.9,21267.0,25431.0,29872.0,35905.0,317.3,phosphorus,3.0,98.0,100.0,180.0,106.0,94.0
S,16,717.87,2.067,2.0771042,2.58,Sulfur,16.0,0.71,999.6,43177.0,48710.0,54460.0,62930.0,68216.0,311048.0,337138.0,,,,2252.0,,,,,,,,,,,3357.0,,4556.0,7004.3,8495.8,27107.0,31719.0,36621.0,388.36,sulfur,3.0,88.0,100.0,180.0,102.0,95.0
Cl,17,239.11,0.003214,3.612724,3.16,Chlorine,17.0,0.479,1251.2,43961.0,51068.0,57119.0,63363.0,72341.0,78095.0,352994.0,380760.0,,,2298.0,,,,,,,,,,,3822.0,,5158.6,6542.0,9362.0,11018.0,33604.0,38600.0,171.6,chlorine,3.0,79.0,100.0,175.0,99.0,93.0
Ar,18,87.3,0.0017837,-11.5,,Argon,18.0,0.52,1520.6,46186.0,52002.0,59653.0,66199.0,72918.0,82473.0,88576.0,397605.0,427066.0,,2665.8,,,,,,,,,,,3931.0,,5771.0,7238.0,8781.0,11995.0,13842.0,40760.0,83.8,argon,3.0,71.0,71.0,188.0,97.0,96.0
K,19,1032.0,0.862,0.501459,0.82,Potassium,1.0,0.757,418.8,48610.0,54490.0,60730.0,68950.0,75900.0,83080.0,93400.0,99710.0,444880.0,476063.0,3052.0,,,,,,,,,,,4420.0,,5877.0,7975.0,9590.0,11343.0,14944.0,16963.7,336.53,potassium,4.0,243.0,220.0,275.0,196.0,
Ca,20,1757.0,1.54,0.02455,1.0,Calcium,2.0,0.647,589.8,20385.0,57110.0,63410.0,70110.0,78890.0,86310.0,94000.0,104900.0,111711.0,494850.0,1145.4,527762.0,,,,,,,,,,4912.4,,6491.0,8153.0,10496.0,12270.0,14206.0,18191.0,1115.0,calcium,4.0,194.0,180.0,231.0,174.0,133.0
